text	sentiment	processed_text
@CBCPolitics Harper the CPC are going to become a 3rd place party because of your reckless leadership #stopharper #cdnpoli #elxn42	Negative	harper the cpc are going to become a place party because of your reckless leadership stopharper cdnpoli elxn
"RT @Seductivpancake: ""repeal Obamacare"" is like playing a mana card in Magic: The Gathering for GOP candidates. It's an essential play. #GO…"	Negative	repeal obamacare is like playing a mana card in magic the gathering for gop candidates it is an essential play go …
RT @TheBaxterBean: Nothing says Republican populist fighting for everyday working-man like arriving in your gold-plated 757. #GOPDebate htt…	Negative	nothing says republican populist fighting for everyday workingman like arriving in your goldplated gopdebate htt …
@megynkelly I though you did a great job with the questions at the debate. Trump is an ass &amp; you really shine the light on that! #GOPDebate	Negative	i though you did a great job with the questions at the debate trump is an ass you really shine the light on that gopdebate
Here is a more meaningful (but not necessarily sillier) discussion than last night's  #GOPDebate... http://t.co/dqbkVEYzCo	Negative	here is a more meaningful but not necessarily sillier discussion than last night is gopdebate
You're parents were Illegal Marco! Can I call you Marco? #GOPDebates	Negative	youre parents were illegal marco can i call you marco gopdebates
RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates	Negative	fox is cherry picking the candidates jeb gets the softball questions 🇺 🇸 gopdebates gopdebates
Next #GOPDebate, we'll need a Trumpire. Just to thrown down a flag. Where's the ballcap that says that, ps?	Negative	next gopdebate well need a trumpire just to thrown down a flag where is the ballcap that says that ps
"RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X…"	Negative	this literally could not be more true for me i watched the gopdebate all i got was a lousy hangover
RT @FixYourLife: So you're all 100% voting democrat no matter what, but you spent your night watching the #GOPDebate so you could tweet jok…	Negative	so youre all voting democrat no matter what but you spent your night watching the gopdebate so you could tweet jok …
RT @MGA_MKII: 1 of the most important issues of our time, #climatechange, not a single word from R candidates, blathering abortion #GOPDeba…	Negative	of the most important issues of our time climatechange not a single word from are candidates blathering abortion gopdeba …
RT @SupermanHotMale: Translation, Jeb Bush, I fucked Florida schools so badly they still have not recovered. That is the truth, I live here…	Negative	translation jeb bush i fucked florida schools so badly they still have not recovered that is the truth i live here …
@Livestream #GOPDebate the election  is about the issues not bombastic personalities	Negative	gopdebate the election is about the issues  bombastic personalities
Love how .@megynkelly BAITED .@realDonaldTrump with women question. Then he gave .@Rosie airtime she couldn't have paid for. #GOPDebate	Negative	love how baited with women question then he gave airtime she could not have paid for gopdebate
RT @BrianBalthazar: I've heard clearer messages during the charades portion of Hollywood Game Night. #GOPDebate	Negative	ive heard clearer messages during the charades portion of hollywood game night gopdebate
"Trump Is A RINO.
#GOPDebate http://t.co/eW7bPOqD5B"	Negative	trump is a rino gopdebate
It seems today that all you see is violence n movies & sex on TV - Family Guy	Negative	it seems today that all you see is violence n movies sex on tv family guy
"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…"	Negative	id really like to see how long each candidate was given to speak it did not seem fair balanced at all 🇺 🇸 gopdebat …
RT @alilihay: I would also prefer that my uterus isn't registered with Washington #GOPDebate	Negative	i would also prefer that my uterus is not registered with washington gopdebate
RT @tarynoneill: THERE WAS NOT ONE QUESTION ON CLIMATE CHANGE OR THE ENVIRONMENT. #thatiswhytheGOPwilllose #GOPDebate	Negative	there was not one question on climate change or the environment thatiswhythegopwillose gopdebate
Going to try & watch Act Of Valor for the 2nd time. The part I seen are pretty bad ass	Negative	going to try watch act of valor for the time the part i seen are pretty bad ass
RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates	Negative	we the american people pick the next president of united states  fox news 🇺 🇸 gopdebate gopdebates
Marco Rubio: Constitutional Right To Choose Was 'Egregiously Flawed Decision' http://t.co/U63WRh7mXN #GOPDebate http://t.co/yEfojmJxdO	Negative	marco rubio constitutional right to choose was egregiously flawed decision gopdebate
"RT @FrankLuntz: I'm getting a lot of @MegynKelly hatemail tonight. 😆

#GOPDebate"	Negative	instant message getting a lot of hatemail tonight 😆 gopdebate
@InsideTimeUK Was having trouble yesterday downloading Septembers edition using Google? Loads the 1st page then crashes?	Negative	was having trouble yesterday downloading septembers edition using google loads the page then crashes
@awyattman88 Hilary however can &amp; will win. It's why, at #GOPDebate she was the most talked about person.  They know they can't beat her!	Negative	hilary however can will win it is why at gopdebate she was the most talked about person they know they can not beat her
RT @KeeganNYC: SURGEON GENERAL'S WARNING: Drinking every time a #GOPDebate candidate says something stupid will kill you. Seriously: http:/…	Negative	surgeon general is warning drinking every time a gopdebate candidate says something stupid will kill you seriously http …
The anti- @CarlyFiorina unit of the #Clinton Personal Destruction Force is now working 24/7, I'm sure. #GOPDebate https://t.co/p0dT5s5TIY	Negative	the anti unit of the clinton personal destruction force is now working instant message sure gopdebate
RT @followMissak: remembering the good times with Pavol Demitra, I was there on this night....deeply saddened by todays tragedy http://t ...	Negative	remembering the good times with pavol demitra i was there on this nightdeeply saddened by todays tragedy
"RT @jjauthor: @learjetter, I was waiting for @megynkelly to ask @realDonaldTrump, ""When did you stop beating your wife?"" #GOPDebate http://…"	Negative	i was waiting for to ask when did you stop beating your wife gopdebate
RT @BrewStuds: Disappointed that #Trump didn't talk about his #craftbeer called, F**k Your Hair? http://t.co/dtYAx80Rnf #gopdebate http://t…	Negative	disappointed that trump did not talk about his craftbeer called fk your hair gopdebate
RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸	Negative	is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates 🇺 🇸
RT @Politics4dum: Putting illegals pimps and prostitutes in one category.....how ignorant and stupid Huckabee #GOPDebate #Republicandebate	Negative	putting illegals pimps and prostitutes in one categoryhow ignorant and stupid huckabee gopdebate republicandebate
He was almost to Bitches &amp; hoes. #GOPDebates	Negative	he was almost to bitches hoes gopdebates
After the #GOPDebate, if I were a Republican I'd get behind the smartest, most electable person in the room and draft @megynkelly for Prez!	Negative	after the gopdebate if i were a republican id get behind the smartest most electable person in the room and draft for prez
People of the #GOPDebate last night denying they support rape/incest exception like its a bad thing... #thisissobackwards	Negative	people of the gopdebate last night denying they support rapeincest exception like its a bad thing thisissobackwards
"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…"	Negative	id really like to see how long each candidate was given to speak it did not seem fair balanced at all 🇺 🇸 gopdebat …
RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates	Negative	after hugged obama he does not deserve to be on the stage tonight 🇺 🇸 gopdebates gopdebates
RT @DefenseBaron: Walker mentions uber rich counties (like mine) around DC. Leaves out mega reason why: defense contracting. #GOPDebate	Negative	walker mentions uber rich counties like mine around dc leaves out mega reason why defense contracting gopdebate
RT @LadySandersfarm: You have no clue what silent majority is thinking.Your mindset comes frm 2% of pop. You're out of touch. #GOPDebate  h…	Negative	you have no clue what silent majority is thinkingyour mindset comes frm of pop youre out of touch gopdebate h …
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates	Negative	fox news is obviously trying to influence the makeup of the republican field 🇺 🇸 gopdebate gopdebates
This is why I don't watch Fox News, they're all assholes #GopDebates	Negative	this is why i do not watch fox news theyre all assholes gopdebates
This debate reminds me how much I'm gonna miss #JonStewart #GOPDebates #GOPDebate #TheDailyShow @jonstewartbooks	Negative	this debate reminds me how much instant message gonna miss jonstewart gopdebates gopdebate thedailyshow
David Cameron U bloody moron f**k U how dare u Kat in so many Muslims? What the fuck u think u r? https://t.co/U5y5j86LNT	Negative	david cameron u bloody moron fk u how dare u kat in so many muslims what the fuck u think u are
Because Fox News didn't ask Trump any REAL questions, I still don't know if he's as good as people think he is. #GOPDebate #FoxDebate	Negative	because fox news did not ask trump any real questions i still do not know if he is as good as people think he is gopdebate foxdebate
My godsister better take her ass STRAIGHT home after school tomorrow. NCA won\u2019t be the place for her to be after school	Negative	my godsister better take her ass straight home after school tomorrow nca wonu t be the place for her to be after school
One of #Trump's friends kids just found out he was supposed to be aborted. #oops #GOPDebates	Negative	one of trump is friends kids just found out he was supposed to be aborted oops gopdebates
Damn Drexel and Penn have canceled classes for Monday and Tuesday due to the hurricane.	Negative	damn drexel and penn have canceled classes for monday and tuesday due to the hurricane
RT @SupermanHotMale: Scott Walker: Don't do business with Iran, just the crooked Koch Brothers... Way to go Dickhead Walker #GopDebates	Negative	scott walker do not do business with iran just the crooked koch brothers way to go dickhead walker gopdebates
RT @GreeneHunter: Ben killed it tonight at the Gop Primary Debate!  #GOPDebate  #Carson16 #RunBenRun	Negative	ben killed it tonight at the gop primary debate gopdebate carson runbenrun
no way to underestimate the madness and cynicism and frank and open loathing of country that characterizes today's Republicans	Negative	no way to underestimate the madness and cynicism and frank and open loathing of country that characterizes today is republicans
"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…"	Negative	id really like to see how long each candidate was given to speak it did not seem fair balanced at all 🇺 🇸 gopdebat …
"Jeb Bush: ""I defunded Planned Parenthood""

....he is proud that he denied thousands of women access to life saving healthcare...
#GOPDebate"	Negative	jeb bush i defunded planned parenthood he is proud that he denied thousands of women access to life saving healthcare gopdebate
RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates	Negative	after hugged obama he does not deserve to be on the stage tonight 🇺 🇸 gopdebates gopdebates
RT @alittlestats: Fox Failed Statistics in Explaining Its G.O.P. Debate Decision http://t.co/JBZchd34wa #APStats #statschat #GOPDebate h/t …	Negative	fox failed statistics in explaining its gop debate decision apstats statschat gopdebate ht …
"""@thehill: Top GOP pundits pick their #GOPdebate winners: http://t.co/QPvJu6p7sz http://t.co/JCDu5qzjnj""
Winners...Fox News
Losers...USA"	Negative	top gop pundits pick their gopdebate winners winnersfox news losersusa
RT @SupermanHotMale: I lived here in Florida for 8 years under Jeb w bush and I swear, no more... #GopDebates	Negative	i lived here in florida for years under jeb w bush and i swear  less gopdebates
RT @SereDoc: So Trump uses the GOP stage as he wants but reserves the right to destroy GOP chances in 2016 at any time? Great GOP leadershi…	Negative	so trump uses the gop stage as he wants but reserves the right to destroy gop chances in at any time great gop leadershi …
Angela Merkel to run for 4th term....if this happens in Africa, UN, US, G7 etc will be planning to invade the country...hypocrites #africa	Negative	angela merkel to run for termif this happens in africa un us g etc will be planning to invade the countryhypocrites africa
"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"	Negative	it is very disappointing that fox news is not conducting a fair balanced debate 🇺 🇸 gopdebate gopdebates
I definitely have way too much to do today to be googling lies told during the #GOPDebate.  There just too few hours in a day.	Negative	i definitely have way too much to do today to be googling lies told during the gopdebate there just too few hours in a day
@realdonaldtrump should be Donald #stump. He was horrible at the #gopdebate. He talked a lot but said NOTHING.	Negative	should be donald stump he was horrible at the gopdebate he talked a lot but said nothing
So glad they covered #BlackLivesMatter &amp; #ClimateChange last night at  #GOPDebate. Oh wait, they didn't? What a surprise.	Negative	so glad they covered blacklivesmatter climatechange last night at gopdebate oh wait they did not what a surprise
RT @averykayla: The fundamental problem is @FoxNews and the GOP party #GOPDebates #DebateWIthBernie	Negative	the fundamental problem is and the gop party gopdebates debatewithbernie
RT @MaryFolley: Huckabee tax plan gonna make it hard out here for the pimps. And the hos. And the drug dealers. #GOPDebates	Negative	huckabee tax plan gonna make it hard out here for the pimps and the hos and the drug dealers gopdebates
Who's fault is it, that the system is screwed up. #GOPDebates	Negative	who is fault is it that the system is screwed up gopdebates
Seems my new iPod doesn\u2019t like Kasabian very much- laptop has crashed every time it\u2019s got to syncing Empire. 10th time lucky...	Negative	seems my new ipod doesnu t like kasabian very much laptop has crashed every time itu s got to syncing empire time lucky
@StevieY1 It is predicted that the Winter Classic and the All-Star game will be cancelled this upcoming Monday .. FUCK !!! #EndTheLockout	Negative	it is predicted that the winter classic and the allstar game will be cancelled this upcoming monday fuck endthelockout
"#GOPDebates #MarcoRubio is just so ""funny"". ha ha."	Negative	gopdebates marcorubio is just so funny ha ha
RT @AriDavidUSA: BREAKING NEWS! Last night during the #GOPDebate @megynkelly gained 300lbs and changed her name to Candy! #tcot http://t.co…	Negative	breaking news last night during the gopdebate gained lbs and changed her name to candy tcot
"You can't be pro-life AND have watched that 2 hour abortion last night.
#GOPDebate #forkedtongue #IseeOrangePeople"	Negative	you can not be prolife and have watched that hour abortion last night gopdebate forkedtongue iseeorangepeople
Ugh to think there were actually people sitting on their couch last night saying YES YES THIS IS REASONABLE. #GOPDebate	Negative	ugh to think there were actually people sitting on their couch last night saying yes yes this is reasonable gopdebate
RT @GrnEyedMandy: There are grown ass adult women on the Right who seem to enjoy being treated like incompetent children. #PlannedParenthoo…	Negative	there are grown ass adult women on the right who seem to enjoy being treated like incompetent children plannedparenthoo …
RT @Diplomtc_Immnty: @MegynKelly tried to take out @realDonaldTrump &amp; got her azz handed to her. Now she's playing the victim-card. Own it …	Negative	tried to take out got her azz handed to her now she is playing the victimcard own it …
Appalling experience with @Microsoft helpline. 2hrs on phone &amp; counting. Now on hold to speak 6th rep so far @MicrosoftHelps Not impressed!!	Negative	appalling experience with helpline hrs on phone counting now on hold to speak rep so far  impressed
"Why these mfs jus blastin \""""Rella\"""" like itz the hood on Saturday N shit lolz smh"	Negative	why these mfs jus blastin rella like itz the hood on saturday n shit lolz smh
RT @SupermanHotMale: Dear friends, it may seem like this is fun to me but I'm really mad about how Republicans treat people who can't affor…	Negative	dear friends it may seem like this is fun to me but instant message really mad about how republicans treat people who can not affor …
RT @goldietaylor: Huckabee. #GOPDebates http://t.co/Zy12bdUkx9	Negative	huckabee gopdebates
"RT @radmax: Trump ""often sounds like more of a Democrat than a Republican"". Stop trying to make Liberal Trump happen! We dON'T WANT HIM!!!!…"	Negative	trump often sounds like more of a democrat than a republican stop trying to make liberal trump happen we do not want him …
The answer to the most important question of the #GOPDebate is yes, Joe Flacco is, in fact, an elite quarterback. #RavensNation	Negative	the answer to the most important question of the gopdebate is yes joe flacco is in fact an elite quarterback ravensnation
Francesco Totti thinks Roma will be unable to catch Juventus & wants the #SerieA side to aim for 3rd this season http://t.co/13FxCEbw	Negative	francesco totti thinks roma will be unable to catch juventus wants the seriea side to aim for this season
RT @justiceonly: @FoxNews #GOPDebate These Megan Kelly tweets say it all https://t.co/CVkZqinxu1 https://t.co/kIHafYCsS7 GOP setup to fail …	Negative	gopdebate these megan kelly tweets say it all gop setup to fail …
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates	Negative	jeb bush reminds me of elevator music you hear it but you do not listen 🇺 🇸 gopdebate gopdebates
I can\u2019t believe the 3 important people in my life are going to Hawaii Friday without me	Negative	i canu t believe the important people in my life are going to hawaii friday without me
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates	Negative	jeb bush reminds me of elevator music you hear it but you do not listen 🇺 🇸 gopdebate gopdebates
RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸	Negative	is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates 🇺 🇸
"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"	Negative	it is very disappointing that fox news is not conducting a fair balanced debate 🇺 🇸 gopdebate gopdebates
After losing 2 last week, today the GOP is trying to win 2 Senate seats in Wisconsin by recalling 2 Democrats. It looks like they'll fail	Negative	after losing last week today the gop is trying to win senate seats in wisconsin by recalling democrats it looks like theyll fail
I wanna go to the studio with Ulysses n them tomorrow\u002cbut i cant. #BARS	Negative	i wanna go to the studio with ulysses n them tomorrowbut i cant bars
RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates	Negative	thanks fox news youre raising s ratings 🇺 🇸 gopdebate gopdebates
Watched the 1st Season of Scandal and all I can say Is Olivia Pope is a Bad Girl!!!!!! Got Season 2 on DVR........	Negative	watched the season of scandal and all i can say is olivia pope is a bad girl got season on dvr
Oh good lord... #Stefon is a prophet! #GOPDebate #OMGOP  https://t.co/aALY6CqzdX	Negative	oh good lord stefon is a prophet gopdebate omgop
@GovChristie @realDonaldTrump Tough talk about marijuana from you 2 @FoxNews @megynkelly  You didn't fire up the conversation? #GOPDebate	Negative	tough talk about marijuana from you you did not fire up the conversation gopdebate
Media sticks up 4 @megynkelly during #GOPDebate n rips #Trump. What media'is missing #Trump did not crash n burn. Megan set Trump up.	Negative	media sticks up during gopdebate n rips trump what mediais missing trump did not crash n burn megan set trump up
I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates	Negative	i need to order another green apple martini to process what the hell just happened 🇺 🇸 gopdebate gopdebates
My mom watching the Trayvon Martin trial ... Smh some may say its fucked up but I just don\u2019t care	Negative	my mom watching the trayvon martin trial smh some may say its fucked up but i just donu t care
"""Define 'shore up,' you ignorant motherfucking jackass.""
#GOPDebates #GOPDbate #BenCarson"	Negative	define shore up you ignorant motherfucking jackass gopdebates gopdbate bencarson
"My personal view on this guy! 
#GOPDebate #sorrynotsorry @FoxNews http://t.co/1alj9CpiCg"	Negative	my personal view on this guy gopdebate sorrynotsorry
So who hosts next #GOPDebate , will it be all softball questions about Jeebus n Walls and shit that doesn't matter ? Or real Questions ?	Negative	so who hosts next gopdebate will it be all softball questions about jeebus n walls and shit that does not matter or real questions
AMERICA BETTAH HAVE MY MONEY!!! #BBHMM #GOPDebate https://t.co/dxrmDWQvBe	Negative	america bettah have my money bbhmm gopdebate
RT @ShannonSanford9: Undoubtedly @FoxNews doesn't want @TedCruz to have any questions. #SMH #GOPDebate	Negative	undoubtedly does not want to have any questions smh gopdebate
This reboot of Golden Girls sucks #GOPdebates	Negative	this reboot of golden girls sucks gopdebates
RT @cheeriogrrrl: Obviously @RogerAiles doesn't want @ScottWalker as #President.  Is everyone okay with @FoxNews selecting the #GOP nominee…	Negative	obviously does not want as president is everyone okay with selecting the gop nominee …
RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…	Negative	i think cruz and trump need to band together and expose this set up job and get rid of bush and rubio 🇺 🇸 gopdebate g …
RT @JonFeere: The most important question won't be asked in this #GOPDebate. Attn: @megynkelly @BretBaier @FoxNews #immigration http://t.co…	Negative	the most important question will not be asked in this gopdebate attn immigration
@Marisol_Bello news anchor @marthamaccallum asked at millions of ppl who remain on assistance than get a job. #TalkPoverty #GOPDebate	Negative	news anchor asked at millions of people who remain on assistance than get a job talkpoverty gopdebate
"@Daggy1 obama's goal is to lead us into 3rd world status, so you're absolutely right, \""obama doesn't care\"""	Negative	obama is goal is to lead us into world status so youre absolutely right obama does not care
So cynical of the electoral board to make preparations for snap polls on Nov. 1 as Pres. Erdogan refuses to give gov-forming mandate to CHP.	Negative	so cynical of the electoral board to make preparations for snap polls on nov as pres erdogan refuses to give govforming mandate to chp
"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"	Negative	it is very disappointing that fox news is not conducting a fair balanced debate 🇺 🇸 gopdebate gopdebates
"RT @PuestoLoco: .@ArthurA_P @raemd95
FOX/GOP Party's Hunger Games- Demagog Food-fighter @CarlyFiorina
#GOPDebate #morningjoe http://t.co/yg…"	Negative	foxgop party is hunger games demagog foodfighter gopdebate morningjoe
#GOPDebate @megynkelly @BretBaier @ChrisWallace101 The questions were very good. The delivery was not as professional as it should have been	Negative	gopdebate the questions were very good the delivery was not as professional as it should have been
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates	Negative	jeb bush reminds me of elevator music you hear it but you do not listen 🇺 🇸 gopdebate gopdebates
"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"	Negative	it is very disappointing that fox news is not conducting a fair balanced debate 🇺 🇸 gopdebate gopdebates
#GOPDebate  #Republicans vs #Democrats is #fake like #wrestling, I mean sports entertainment...so we have political entertainment!	Negative	gopdebate republicans vs democrats is fake like wrestling i mean sports entertainmentso we have political entertainment
RT @mjtbaum: Maybe @realDonaldTrump can just ask to borrow this... #GOPDebate http://t.co/chnjqlQmBn	Negative	maybe can just ask to borrow this gopdebate
RT @dionaoku: shade. #GOPDebate http://t.co/l0uY18MBS1	Negative	shade gopdebate
"Foehammer2008: RT renomarky: ☑ never watch #KellyFile again

1. #GOPDebate questions 
2. Pandering to DWStweets 
3… http://t.co/AuhlNZa3Ww"	Negative	foehammer renomarky ☑ never watch kellyfile again gopdebate questions pandering to dwstweets …
RT @AmiraMitch: They were a mess!!! #GOPDebate  https://t.co/93SdCTvcQ9	Negative	they were a mess gopdebate
Scott Walker is delusion AF, yo! #GOPDebates	Negative	scott walker is delusion as freak yo gopdebates
RT @ahzoov: File this under: Subjects Overlooked in the #GOPDebate http://t.co/L4X9stUjVM	Negative	file this under subjects overlooked in the gopdebate
"@realDonaldTrump ""took advantage of chapter laws"" the same way welfare fraud is committed. It's all just gaming the system. #GOPDebate #2016"	Negative	took advantage of chapter laws the same way welfare fraud is committed it is all just gaming the system gopdebate
Unless you got a throw back Thursday picture with Michael Jackson I don\u2019t give a fuck about your faggot ass picture	Negative	unless you got a throw back thursday picture with michael jackson i donu t give a fuck about your faggot ass picture
"Its hard not to wonder if @realDonaldTrump is #GOP spoiler 
#GOPDebate #copolitics  https://t.co/LGTCNx0dra"	Negative	its hard not to wonder if is gop spoiler gopdebate copolitics
"RT @TheLadyValor: @GovMikeHuckabee I was the best of the best #NavySEAL .... I am twice the man that you could ever be!
#GOPDebate http://t…"	Negative	i was the best of the best navyseal i am twice the man that you could ever be gopdebate
lungtawellness: KatyTurNBC biggest loser in last night's #GOPDebate - the environment. Meanwhile in Canada's leade… http://t.co/AuhlNZa3Ww	Negative	lungtawellness katyturnbc biggest loser in last night is gopdebate the environment meanwhile in canada is leade …
"RT @TheDailyEdge: #GOPDebate Walker's #jobs failure: ""#Wisconsin’s recovery outpaced US before he took over but has lagged ever since"" http…"	Negative	gopdebate walker is jobs failure wisconsin ’ s recovery outpaced us before he took over but has lagged ever since http …
#GOPDebate a display of people who are proud to be ignorant	Negative	gopdebate a display of people who are proud to be ignorant
Hey media - If you ignore Trump, maybe he'll go away. Just a hint. #honeybadger #GOPDebate	Negative	hey media if you ignore trump maybe hell go away just a hint honeybadger gopdebate
RT @peterdaou: Complete #climatechange blackout at the first 2015 #GOPDebate. Unreal.	Negative	complete climatechange blackout at the first gopdebate unreal
@Hellblazer @kimmieleanne  said you made Keith Richards look baby faced.  *May not have actually said this.	Negative	said you made keith richards look baby faced may not have actually said this
Wait! Wuuuuuuuut? This was actually a question? I can't 🙈 #GOPDebates	Negative	wait wuut this was actually a question i can not 🙈 gopdebates
RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …	Negative	why does not chris wallace ask the other politicans about their finances and where their money comes from 🇺 🇸 gopdebate …
GOP Debate News - Trump Shocks GOP Faithful http://t.co/T0k3oOKwM0  #DonaldTrump  #GOPDebate http://t.co/yPSx9rOv1q	Negative	gop debate news trump shocks gop faithful donaldtrump gopdebate
"I wonder if any of these candidates actually have an idea other than ""Obama is an idiot"" #GOPDebates"	Negative	i wonder if any of these candidates actually have an idea other than obama is an idiot gopdebates
Anyone going to the Romney rally in Fairfax on Monday?? Really wanna go\u002c but no car. Help!? @TeamRomney	Negative	anyone going to the romney rally in fairfax on monday really wanna go but no car help
RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates	Negative	we the american people pick the next president of united states  fox news 🇺 🇸 gopdebate gopdebates
"RT @bledwine: #BATsAsk Why R U pushing #Charter schools  &amp; Vouchers? 
#GOPDebate 
@BadassTeachersA http://t.co/L1B6NNg6Gc"	Negative	batsask why are u pushing charter schools vouchers gopdebate
"No @RandPaul everyone has said they are ""the only one on this stage"" literally everyone has said that already #GOPDebates"	Negative	no everyone has said they are the only one on this stage literally everyone has said that already gopdebates
RT @NancyLeeGrahn: Woke up to screaming about Mexicans and vaginas. NEVER fall asleep with Fox News channel on. #GOPDebate	Negative	woke up to screaming about mexicans and vaginas never fall asleep with fox news channel on gopdebate
RT @monaeltahawy: I'll tell you the one good thing about #GOPDebates: candidates are tripping over themselves to outdo each other in sexism…	Negative	ill tell you the one good thing about gopdebates candidates are tripping over themselves to outdo each other in sexism …
Jay-Z make time for Bey.. The President make time for the 1st lady. So where are you so busy at again?	Negative	jayz make time for bey the president make time for the lady so where are you so busy at again
I think on some day's may the spirt of Kurt Cobain be with me so I dont  bitch slap everyone	Negative	i think on some day is may the spirt of kurt cobain be with me so i dont bitch slap everyone
@woodruffbets @thedailybeast And you just proved @realDonaldTrump point on bad journalists from the #GOPDebate can't even describe it right	Negative	and you just proved point on bad journalists from the gopdebate can not even describe it right
RT @OITNB_Beyond: Democrats watching the #GOPDebate tonight!!! This is a comedy hour!!! http://t.co/kKrpmE1XCE	Negative	democrats watching the gopdebate tonight this is a comedy hour
#GOPDebate so the debate for POTUS comes down to who is the best insulter of + sized irrelevant lesbians? &amp; youre doing what 4 the people?	Negative	gopdebate so the debate for potus comes down to who is the best insulter of sized irrelevant lesbians youre doing what the people
RT @BobbyJindal: Immigration without assimilation is not immigration, it is invasion. #GOPDebate	Negative	immigration without assimilation is  immigration it is invasion gopdebate
Holger may have another selection headache with Carl Valeri coming off with a possible injury after 30 mins in tonight\u2019s game v Cesena	Negative	holger may have another selection headache with carl valeri coming off with a possible injury after mins in tonightu s game v cesena
RT @jaret2113: I'll bet George W. can drink Jeb under the table...like embarrassingly!!!!! #gopdebates	Negative	ill bet george w can drink jeb under the tablelike embarrassingly gopdebates
It was a trainwreck in the truest sense of word. From the painfully awkward opening to the nonsensical answers to questions #GOPDebate	Negative	it was a trainwreck in the truest sense of word from the painfully awkward opening to the nonsensical answers to questions gopdebate
ExposingTPGOP: The loudest messages from the #GOPdebate: #WarOnWomen is real &amp; #GOPWantsWar with #Iran to impose A… http://t.co/AuhlNZa3Ww	Negative	exposingtpgop the loudest messages from the gopdebate waronwomen is real gopwantswar with iran to impose a …
RT @WarrenHolstein: The only doctor worse than Ben Carson is Bill Cosby. #GOPdebate	Negative	the only doctor worse than ben carson is bill cosby gopdebate
Who's the real illegal alien AMERICA  #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube	Negative	who is the real illegal alien america gopdebate farrakhan on immigration the mexican bor via
Because we can't make up this shit. #GOPDebate #lol	Negative	because we can not make up this shit gopdebate laugh out loud
Our Wacky Wednesday promo\u002c is going a bit Ground Hog Day!!! I say our  Our Wacky Wednesday promo\u002c is going a bit... http://t.co/9TFA1XnE	Negative	our wacky wednesday promo is going a bit ground hog day i say our our wacky wednesday promo is going a bit
